 서울특별시 강남구 도곡동,527,도곡렉슬,59.98,11~20,89500,12,2006,선릉로
 서울특별시 강남구 도곡동,527,도곡렉슬,59.98,11~20,84000,2,2006,선릉로
 서울특별시 강남구 도곡동,527,도곡렉슬,59.98,11~20,93500,20,2006,선릉로
 서울특별시 강남구 도곡동,527,도곡렉슬,85,1~10,120700,7,2006,선릉로
 서울특별시 강남구 도곡동,527,도곡렉슬,85,1~10,125000,13,2006,선릉로
 서울특별시 강남구 도곡동,527,도곡렉슬,85,11~20,130300,14,2006,선릉로
 서울특별시 강남구 도곡동,527,도곡렉슬,114.99,1~10,164000,20,2006,선릉로
 서울특별시 강남구 도곡동,527,도곡렉슬,114.99,1~10,165500,12,2006,선릉로
 서울특별시 강남구 도곡동,527,도곡렉슬,119.89,21~30,167500,6,2006,선릉로
 서울특별시 강남구 도곡동,527,도곡렉슬,120.82,1~10,149500,22,2006,선릉로
 서울특별시 강남구 도곡동,527,도곡렉슬,120.82,1~10,148700,5,2006,선릉로
 서울특별시 강남구 도곡동,527,도곡렉슬,120.82,1~10,148000,4,2006,선릉로
 서울특별시 강남구 도곡동,527,도곡렉슬,120.82,1~10,149500,17,2006,선릉로
 서울특별시 강남구 도곡동,527,도곡렉슬,120.82,1~10,138000,20,2006,선릉로
 서울특별시 강남구 도곡동,933,도곡쌍용예가,107.53,1~10,96000,6,2011,남부순환로363길
 서울특별시 강남구 도곡동,933,도곡쌍용예가,107.53,1~10,97000,9,2011,남부순환로363길
 서울특별시 강남구 도곡동,933,도곡쌍용예가,112.92,1~10,107000,8,2011,남부순환로363길
 서울특별시 강남구 도곡동,462,럭키(462),79.89,1~10,92000,2,1986,남부순환로
 서울특별시 강남구 도곡동,161,삼성,54.81,1~10,76000,9,1994,남부순환로379길
 서울특별시 강남구 도곡동,91-5,삼성래미안,59.96,21~30,78700,8,2001,남부순환로
 서울특별시 강남구 도곡동,91-5,삼성래미안,84.76,11~20,109000,19,2001,남부순환로
 서울특별시 강남구 도곡동,91-5,삼성래미안,84.89,1~10,110000,15,2001,남부순환로
 서울특별시 강남구 도곡동,91-5,삼성래미안,84.89,1~10,102000,10,2001,남부순환로
 서울특별시 강남구 도곡동,869,삼익,104.01,1~10,90000,5,1983,논현로
 서울특별시 강남구 도곡동,467-7,아카데미스위트1,83,11~20,76900,15,2004,언주로30길
 서울특별시 강남구 도곡동,467-7,아카데미스위트1,128.74,21~30,106500,3,2004,언주로30길
 서울특별시 강남구 도곡동,934-10,역삼우성,84.83,1~10,85000,4,1986,남부순환로363길
 서울특별시 강남구 도곡동,467,타워팰리스1,164.97,21~30,223500,35,2002,언주로30길
 서울특별시 강남구 도곡동,467,타워팰리스1,174.67,11~20,235000,14,2002,언주로30길
 서울특별시 강남구 도곡동,467,타워팰리스1,244.66,1~10,380000,56,2002,언주로30길
 서울특별시 강남구 도곡동,467-17,타워팰리스2,115.63,1~10,138300,3,2003,언주로30길
 서울특별시 강남구 도곡동,895-8,한신엠비씨,84.74,1~10,90000,12,1988,논현로
 서울특별시 강남구 도곡동,895-8,한신엠비씨,84.74,21~30,90000,7,1988,논현로
 서울특별시 강남구 도곡동,964,현대그린1,84.93,1~10,81700,16,2006,논현로51길
